Term;Alice’sAdventuresinWonderland.txt;ATaleofTwoCitie.txt;Frankenstein.txt;HeartofDarkness.txt;MobyDick.txt;PrideandPrejudice.txt;SherlockHolmes.txt
reproduce;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
Careful;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
suffered;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
claptrap;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
marlinspikes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Therein;"0,000000";"0,000000";"0,000000";"0,000000";"0,000053";"0,000000";"0,000136"
pillaged;"0,000000";"0,000104";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
quickening;"0,000000";"0,000066";"0,000000";"0,000128";"0,000067";"0,000000";"0,000000"
fornication;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
—seen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
palpitated;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
’—‘Soon;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
scholars;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
Gemini;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
enjoined;"0,000000";"0,000000";"0,000301";"0,000000";"0,000053";"0,000000";"0,000000"
‘Soo;"0,000663";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
raging;"0,000000";"0,000723";"0,000095";"0,000000";"0,000169";"0,000000";"0,000000"
wiliness;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
‘Dear;"0,000663";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Duchess’s;"0,001990";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
