Term;HeartofDarkness.txt;SherlockHolmes.txt;Frankenstein.txt;PrideandPrejudice.txt;ATaleofTwoCitie.txt;Alice’sAdventuresinWonderland.txt;MobyDick.txt 
stint;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
reckonings;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Manhattoes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
gipsy;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Trap;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
sting;"0,000184";"0,000000";"0,000549";"0,000000";"0,000000";"0,000000";"0,000097"
destructive;"0,000000";"0,000000";"0,000137";"0,000160";"0,000095";"0,000000";"0,000049"
buckle;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000195"
stink;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
fess;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
——The;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
pallidness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
Farmer;"0,000000";"0,000000";"0,000000";"0,000000";"0,000948";"0,000000";"0,000000"
voice;"0,006271";"0,002483";"0,006310";"0,003510";"0,007965";"0,016019";"0,002188"
butcher;"0,000553";"0,000124";"0,000000";"0,000160";"0,000095";"0,000000";"0,000049"
uncapturable;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
axis;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000292"
gaseous;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
deigned;"0,000000";"0,000000";"0,000000";"0,000479";"0,000000";"0,000000";"0,000000"
genealogy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
boatmen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
“Possibly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
olive;"0,000000";"0,000000";"0,000000";"0,000479";"0,000095";"0,000000";"0,000146"
budding;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
apprised;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000195"
journeyman;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
ferrule;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
inhabits;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
feud;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
devilishly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
imply;"0,000000";"0,000124";"0,000137";"0,000160";"0,000095";"0,000000";"0,000000"
parlor;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
capture;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000681"
Pacifics;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
estimation;"0,000000";"0,000000";"0,000000";"0,000798";"0,000000";"0,000000";"0,000146"
individual’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
keeled;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
Commodores;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Tottering;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
abolition;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
billet;"0,000000";"0,000248";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
senile;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Science;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
elder;"0,000184";"0,000124";"0,000274";"0,001914";"0,001233";"0,000000";"0,000049"
prescribed;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000049"
billed;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
forerunner;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Tillie;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
riots;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
distances;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
person’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
notified;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Vineyarder;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
hook—poor;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
selfishness;"0,000000";"0,000124";"0,000549";"0,000160";"0,000000";"0,000000";"0,000000"
voids;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
command;"0,000184";"0,000497";"0,000686";"0,001117";"0,000095";"0,000000";"0,001362"
