Term;HeartofDarkness.txt;SherlockHolmes.txt;Frankenstein.txt;PrideandPrejudice.txt;ATaleofTwoCitie.txt;Alice’sAdventuresinWonderland.txt;MobyDick.txt 
frowning;"0,000184";"0,000124";"0,000137";"0,000000";"0,000190";"0,001363";"0,000000"
Reserve;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Twenty;"0,000000";"0,000248";"0,000000";"0,000000";"0,000379";"0,000000";"0,000049"
spilling;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
passionateness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
abrupt;"0,000184";"0,000124";"0,000137";"0,000160";"0,000284";"0,000000";"0,000000"
salary;"0,000184";"0,000745";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
pretend;"0,000369";"0,000000";"0,000412";"0,001117";"0,000190";"0,000341";"0,000340"
Gros;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
guards;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
nailed—Quick;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
blameworthy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
mankind—devilish;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
widowhood;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
stonily;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
coals;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000243"
halyards;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
blasts;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000682";"0,000049"
spreading;"0,000369";"0,000124";"0,000137";"0,000160";"0,000284";"0,000341";"0,000097"
carriers;"0,000553";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
compassionate;"0,000369";"0,000000";"0,000137";"0,000319";"0,000664";"0,000000";"0,000000"
tallow;"0,000000";"0,000372";"0,000000";"0,000000";"0,000000";"0,000000";"0,000195"
Promise;"0,000000";"0,000000";"0,000000";"0,000160";"0,000095";"0,000000";"0,000000"
Cluny;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
teetotaler;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
fagot;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
grandiloquent;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
slatternly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
flit;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000000"
glade;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
1000;"0,000000";"0,000993";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
result;"0,000184";"0,001738";"0,000686";"0,000798";"0,000569";"0,000341";"0,000243"
reticule;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
evaporate;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
stiffening;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
restoratives;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
staircase;"0,000184";"0,000000";"0,000137";"0,000319";"0,002181";"0,000000";"0,000000"
imbedded;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
flip;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
resume;"0,000000";"0,000000";"0,000137";"0,000160";"0,000095";"0,000000";"0,000097"
barricade;"0,000000";"0,000124";"0,000137";"0,000000";"0,000000";"0,000000";"0,000195"
Ace;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
unfeatured;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
overtaking;"0,000184";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000049"
BEE;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
BEG;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
posture;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000243"
Supper;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000243"
Ingolstadt;"0,000000";"0,000000";"0,002195";"0,000000";"0,000000";"0,000000";"0,000000"
eating;"0,000184";"0,000000";"0,000000";"0,000319";"0,000190";"0,000341";"0,000535"
gripping;"0,000184";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
Adieu;"0,000369";"0,000000";"0,000274";"0,000319";"0,000000";"0,000000";"0,000097"
sunset;"0,000184";"0,000124";"0,000274";"0,000000";"0,000379";"0,000000";"0,000389"
information;"0,000738";"0,000993";"0,001097";"0,004308";"0,001043";"0,000000";"0,000097"
Kremlin;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Ada;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
straining;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000340"
shoals;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000389"
craft’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
sufferer;"0,000000";"0,000248";"0,000274";"0,000160";"0,000569";"0,000000";"0,000000"
linstock;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
uprising;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
somewhere—to;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
swelled—of;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
amounted;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000049"
reproduce;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Careful;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
suffered;"0,000184";"0,000248";"0,002881";"0,001276";"0,000569";"0,000000";"0,000049"
claptrap;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
marlinspikes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Therein;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
pillaged;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
quickening;"0,000184";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000097"
fornication;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
—seen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
palpitated;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
’—‘Soon;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
scholars;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
Gemini;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
enjoined;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000049"
‘Soo;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
raging;"0,000000";"0,000000";"0,000137";"0,000000";"0,001043";"0,000000";"0,000243"
wiliness;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
‘Dear;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
Duchess’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,001022";"0,000000"
Devoutly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
loadstone;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
motive;"0,000369";"0,000497";"0,000274";"0,002712";"0,000095";"0,000000";"0,000146"
adrift;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000292"
colouring;"0,000000";"0,000000";"0,000000";"0,000479";"0,000000";"0,000000";"0,000049"
Islands;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000292"
Age;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
hauteur;"0,000000";"0,000000";"0,000000";"0,000319";"0,000000";"0,000000";"0,000000"
monstrously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
wheelbarrow;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
conducive;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000000"
effeminacy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
umbrella;"0,000184";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
him—what;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
quarters;"0,000000";"0,000621";"0,000274";"0,000319";"0,000474";"0,000000";"0,000243"
plotting;"0,000184";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
perilously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
is—“How;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
poignant;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000000"
creeps;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
goadings;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Aha;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
creepy;"0,000369";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
executioner’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
Induced;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Preble;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
uglifying;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
breadth;"0,000184";"0,000124";"0,000000";"0,000000";"0,000569";"0,000000";"0,000438"
discharges;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
complimented;"0,000000";"0,000124";"0,000000";"0,000479";"0,000095";"0,000000";"0,000097"
unbuilt;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
chilly;"0,000184";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
“Father;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
dummy;"0,000184";"0,000372";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
sailmakers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
discharged;"0,000000";"0,000000";"0,000000";"0,000479";"0,000190";"0,000000";"0,000146"
chills;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
fiancé;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
flashing;"0,000184";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000243"
flop;"0,000000";"0,000000";"0,000000";"0,000000";"0,000569";"0,000000";"0,000000"
flow;"0,000184";"0,000000";"0,000412";"0,000638";"0,000284";"0,000000";"0,000292"
reminds;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000195"
undignified;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
timid;"0,000000";"0,000248";"0,000137";"0,000000";"0,000664";"0,001022";"0,000389"
Air;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
resonance;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
flog;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
angular;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
tombstones;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
preservers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
ensue;"0,000000";"0,000124";"0,000000";"0,000160";"0,000000";"0,000000";"0,000097"
coach;"0,000000";"0,000124";"0,000137";"0,001595";"0,005120";"0,000000";"0,000195"
women;"0,001475";"0,000869";"0,000549";"0,003031";"0,005784";"0,000000";"0,000486"
jellied;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Singularity;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
woman;"0,001291";"0,008815";"0,003018";"0,009572";"0,006922";"0,000682";"0,000292"
civilities;"0,000000";"0,000000";"0,000000";"0,001117";"0,000000";"0,000000";"0,000000"
dumps;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
unassured;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Citizen;"0,000000";"0,000000";"0,000000";"0,000000";"0,001422";"0,000000";"0,000000"
interregnum;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
buckles;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
bothering;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
buckler;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
“Dearest;"0,000000";"0,000000";"0,000274";"0,000000";"0,000095";"0,000000";"0,000000"
unfallen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
surname;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Richard;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000097"
assemblance;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
redundancy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
unforgiving;"0,000000";"0,000000";"0,000000";"0,000319";"0,000000";"0,000000";"0,000000"
Therese;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
—God;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
beholder;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
avail;"0,000000";"0,000124";"0,000412";"0,000160";"0,000284";"0,000000";"0,000097"
taller;"0,000000";"0,000124";"0,000000";"0,000160";"0,000000";"0,000682";"0,000049"
misspent;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
housemaid;"0,000000";"0,000000";"0,000000";"0,000319";"0,000000";"0,000341";"0,000000"
amselle;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
aforethought;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
—helm;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
gone—all;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
observances;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000000"
jugglers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Sovereign;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
groves—why;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
“beat;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
creeds;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
off—move;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
All;"0,002582";"0,002732";"0,001372";"0,002553";"0,003414";"0,001022";"0,002286"
hindering;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Trinity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Angelo;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
shrines;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Plum;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
round—thought;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Angels;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000049"
joyously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
Faces;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
longitude;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
pigeon;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
ceasing;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
circumstances;"0,000184";"0,001117";"0,001783";"0,004467";"0,002086";"0,000341";"0,001264"
timed;"0,000000";"0,000000";"0,000000";"0,000160";"0,000095";"0,000000";"0,000000"
sneaks;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
conveniently;"0,000000";"0,000124";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
unmingled;"0,000000";"0,000000";"0,000412";"0,000000";"0,000000";"0,000000";"0,000000"
mystifying;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
pernicious;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Herbert’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
circumstanced;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
defeats;"0,000184";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
boggy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
And;"0,013464";"0,024832";"0,004527";"0,024569";"0,009198";"0,017042";"0,016242"
mapped;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
chinked;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
rarity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000379";"0,000000";"0,000000"
subornation;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Ann;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,001363";"0,000000"
chicken;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000000"
cemeteries;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
spliced;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
soulless;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
aldermen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Any;"0,000184";"0,000124";"0,000000";"0,000160";"0,000379";"0,000000";"0,000292"
no—no;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
blindfold;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
times;"0,001291";"0,001987";"0,001509";"0,003031";"0,004836";"0,002045";"0,005349"
Herschel’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
footed;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000195"
vacillating;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Admiral;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
muscle;"0,000369";"0,000000";"0,000274";"0,000000";"0,000095";"0,000000";"0,000097"
jolted;"0,000000";"0,000124";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
them—and;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
contiguity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
immured;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000000"
“Guess;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
bachelor;"0,000000";"0,000745";"0,000000";"0,000000";"0,000664";"0,000000";"0,000049"
Endell;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
‘Sentence;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
fatter;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
harness;"0,000184";"0,000248";"0,000000";"0,000000";"0,000569";"0,000000";"0,000049"
voyage—and;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
sketch;"0,000184";"0,000248";"0,000000";"0,000319";"0,000000";"0,000000";"0,000000"
Harry—;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
witted;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
disfigured;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Sons—how;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
freshness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
infatuation;"0,000000";"0,000000";"0,000137";"0,000160";"0,000000";"0,000000";"0,000049"
Bloomsbury;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
stubble;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
beautiful;"0,001291";"0,001366";"0,003704";"0,002393";"0,001328";"0,002727";"0,000389"
rectify;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
eventual;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
Matter;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
palsy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
defined;"0,000000";"0,000248";"0,000000";"0,000319";"0,000284";"0,000000";"0,000195"
voyages—The;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
nestling;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
dissecting;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
swells;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000535"
tracery;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Releasing;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
clouded;"0,000000";"0,000124";"0,000549";"0,000160";"0,000379";"0,000000";"0,000049"
Are;"0,000553";"0,000745";"0,000274";"0,002553";"0,000474";"0,000000";"0,000340"
creating;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000049"
Gross;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Ark;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
Arm;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
—here;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
sweeping;"0,000184";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000584"
Art;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
mobbing;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
placidity;"0,000184";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000097"
anaconda;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
rheumatic;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
before—if;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
starve;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000049"
sottish;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Dante;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000049"
Asa;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Swedes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
chemists;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
reported;"0,000184";"0,000497";"0,000137";"0,000000";"0,000190";"0,000000";"0,000195"
Ask;"0,000000";"0,000000";"0,000000";"0,000000";"0,000474";"0,000000";"0,000000"
come—their;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
worried;"0,000553";"0,000000";"0,000000";"0,000000";"0,000190";"0,000341";"0,000049"
kitchen;"0,000000";"0,000745";"0,000137";"0,000160";"0,000095";"0,001363";"0,000195"
prevented;"0,000000";"0,000000";"0,000274";"0,003669";"0,000474";"0,000000";"0,000097"
creation;"0,000369";"0,000000";"0,002606";"0,000000";"0,000000";"0,000000";"0,000292"
vexations;"0,000000";"0,000000";"0,000137";"0,000160";"0,000000";"0,000000";"0,000000"
antlers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
banding;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
absolution;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
reporter;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
marketing;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
torture;"0,000000";"0,000000";"0,001646";"0,000000";"0,000474";"0,000000";"0,000049"
FATHER;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000682";"0,000000"
mistress;"0,000184";"0,000497";"0,000412";"0,001436";"0,000000";"0,000000";"0,000049"
wolfish;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
margins;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
—For;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
slapped;"0,000184";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
——;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
wickedest;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000000"
vexatious;"0,000000";"0,000000";"0,000000";"0,000319";"0,000000";"0,000000";"0,000049"
