|  | Frankenstein.txt |
| abhor | 5.551731E-5 |
| soothed | 5.551731E-5 |
| relationships | 1.1103462E-5 |
| appeared | 6.328973E-4 |
| four | 4.441385E-5 |
| else | 2.2206925E-5 |
| contemplate | 4.441385E-5 |
| easily | 2.1096578E-4 |
| if | 0.0017654505 |
| violently | 6.662077E-5 |
| likely | 1.1103462E-5 |
| in | 0.012591326 |
| subsistence | 1.1103462E-5 |
| dejected | 1.1103462E-5 |
| dismissed | 1.1103462E-5 |
| is | 0.003630832 |
| it | 0.005096489 |
| schemes | 1.1103462E-5 |
| aimed | 1.1103462E-5 |
| announce | 2.2206925E-5 |
| habitable | 1.1103462E-5 |
| talked | 5.551731E-5 |
| enjoyments | 2.2206925E-5 |
| writhing | 1.1103462E-5 |
| lively | 8.88277E-5 |
| distraction | 1.1103462E-5 |
| contrast | 5.551731E-5 |
| gave | 3.553108E-4 |
| alteration | 6.662077E-5 |
| annoying | 1.1103462E-5 |
| become | 3.6641426E-4 |
| recovering | 1.1103462E-5 |
| progressively | 1.1103462E-5 |
| eagerness | 5.551731E-5 |
| majestic | 6.662077E-5 |
| occurrence | 3.3310385E-5 |
| grades | 1.1103462E-5 |
| Uri | 1.1103462E-5 |
| literature | 1.1103462E-5 |
| Chamounix | 5.551731E-5 |
| dire | 1.1103462E-5 |
| irreproachable | 1.1103462E-5 |
| sending | 2.2206925E-5 |
| RIGHT | 1.1103462E-5 |
| irreparable | 3.3310385E-5 |
| ability | 2.2206925E-5 |
| belief | 3.3310385E-5 |
| abyss | 1.1103462E-5 |
| delight | 3.3310388E-4 |
| roaming | 1.1103462E-5 |
| slackened | 1.1103462E-5 |
| Use | 2.2206925E-5 |
| knew | 3.553108E-4 |
| suggestion | 2.2206925E-5 |
| sullen | 2.2206925E-5 |
| lantern | 1.1103462E-5 |
| disposition | 6.662077E-5 |
| places | 8.88277E-5 |
| equals | 2.2206925E-5 |
| conscious | 3.3310385E-5 |
| accomplishment | 1.1103462E-5 |
| dilatory | 1.1103462E-5 |
| triumphantly | 1.1103462E-5 |
| Interpret | 1.1103462E-5 |
| obliterated | 3.3310385E-5 |
| placid | 6.662077E-5 |
| solitary | 1.1103462E-4 |
| while | 6.551043E-4 |
| contentment | 2.2206925E-5 |
| second | 6.662077E-5 |
| that | 0.0112256 |
| picked | 1.1103462E-5 |
| www | 6.662077E-5 |
| swiftness | 4.441385E-5 |
| sufficient | 2.2206924E-4 |
| than | 0.0012435877 |
| me | 0.009593391 |
| limit | 2.2206925E-5 |
| communication | 3.3310385E-5 |
| cabinets | 1.1103462E-5 |
| porter | 1.1103462E-5 |
| profited | 2.2206925E-5 |
| contest | 1.1103462E-5 |
| blackness | 1.1103462E-5 |
| turmoil | 1.1103462E-5 |
| indecent | 1.1103462E-5 |
| author | 5.551731E-5 |
| possessed | 4.108281E-4 |
| dirt | 1.1103462E-5 |
| feeling | 2.9979346E-4 |
| charms | 1.1103462E-5 |
| City | 1.1103462E-5 |
| my | 0.018109746 |
| Caroline | 3.3310385E-5 |
| flowing | 1.1103462E-5 |
| license | 4.441385E-5 |
| disk | 3.3310385E-5 |
| dream | 1.9986232E-4 |
| gaze | 1.1103462E-5 |
| possesses | 1.1103462E-5 |
| noble | 1.2213808E-4 |
| rushing | 2.2206925E-5 |
| rays | 3.3310385E-5 |
| postpone | 1.1103462E-5 |
| Except | 2.2206925E-5 |
| heat | 7.772423E-5 |
| no | 0.0017210366 |
| immortality | 1.1103462E-5 |
| student | 2.2206925E-5 |
| seal | 1.1103462E-5 |
| kissed | 5.551731E-5 |
| CONTRACT | 1.1103462E-5 |
| inestimable | 1.1103462E-5 |
| elapsed | 7.772423E-5 |
| head | 2.7758654E-4 |
| involuntarily | 2.2206925E-5 |
| whine | 1.1103462E-5 |
| pausing | 1.1103462E-5 |
| of | 0.0304679 |
| heal | 1.1103462E-5 |
| reserve | 1.1103462E-5 |
| oh | 2.2206925E-5 |
| Depart | 1.1103462E-5 |
| capacities | 1.1103462E-5 |
| hear | 1.8875886E-4 |
| occupied | 2.6648308E-4 |
| mightier | 1.1103462E-5 |
| on | 0.0050187646 |
| or | 0.0027203483 |
| readier | 1.1103462E-5 |
| embark | 1.1103462E-5 |
| guardians | 1.1103462E-5 |
| families | 2.2206925E-5 |
| cousin | 2.6648308E-4 |
| whilst | 9.993116E-5 |
| incessantly | 2.2206925E-5 |
| campagne | 1.1103462E-5 |
| luxury | 4.441385E-5 |
| easier | 1.1103462E-5 |
| communicating | 2.2206925E-5 |
| sitting | 1.1103462E-5 |
| infringement | 1.1103462E-5 |
| consternation | 2.2206925E-5 |
| indications | 1.1103462E-5 |
| inexperienced | 1.1103462E-5 |
| Archive | 1.44345E-4 |
| nation | 1.1103462E-5 |
| registered | 2.2206925E-5 |
| determination | 8.88277E-5 |
| convenience | 2.2206925E-5 |
| discipline | 1.1103462E-5 |
| suppliant | 1.1103462E-5 |
| falsehood | 3.3310385E-5 |
| scarlet | 1.1103462E-5 |
| 596 | 1.1103462E-5 |
| extremely | 4.441385E-5 |
| tongues | 1.1103462E-5 |
| clever | 1.1103462E-5 |
| retribution | 1.1103462E-5 |
| bathed | 1.1103462E-5 |
| hundreds | 1.1103462E-5 |
| January | 1.1103462E-5 |
| recent | 3.3310385E-5 |
| brand | 1.1103462E-5 |
| they | 0.0018764851 |
| agonising | 2.2206925E-5 |
| perpetually | 3.3310385E-5 |
| inevitable | 1.1103462E-5 |
| thee | 1.1103462E-4 |
| insanity | 3.3310385E-5 |
| consciousness | 3.3310385E-5 |
| imprudence | 1.1103462E-5 |
| blindness | 1.1103462E-5 |
| relapse | 2.2206925E-5 |
| them | 0.0014101397 |
| then | 0.00115476 |
| seat | 4.441385E-5 |
| insensible | 2.2206925E-5 |
| seas | 6.662077E-5 |
| re | 3.3310385E-5 |
| wander | 4.441385E-5 |
| expire | 1.1103462E-5 |
| London | 8.88277E-5 |
| donors | 1.1103462E-5 |
| Eastern | 1.1103462E-5 |
| singular | 3.3310385E-5 |
| obtained | 7.772423E-5 |
| bridge | 1.1103462E-5 |
| discovered | 3.7751772E-4 |
| serenity | 1.1103462E-5 |
| well—and | 1.1103462E-5 |
| ignominy | 4.441385E-5 |
| executed | 3.3310385E-5 |
| seek | 2.7758654E-4 |
| seen | 2.2206924E-4 |
| eighteenth | 1.1103462E-5 |
| seem | 4.441385E-5 |
| quelling | 1.1103462E-5 |
| lecture | 5.551731E-5 |
| insuperable | 1.1103462E-5 |
| so | 0.002287313 |
| thanked | 4.441385E-5 |
| pierce | 1.1103462E-5 |
| email | 2.2206925E-5 |
| apart | 2.2206925E-5 |
| issuing | 1.1103462E-5 |
| necessary | 1.9986232E-4 |
| decision | 2.2206925E-5 |
| souls | 2.2206925E-5 |
| started | 6.662077E-5 |
| neighbours | 1.1103462E-5 |
| UNDER | 1.1103462E-5 |
| abstained | 1.1103462E-5 |
| heed | 1.1103462E-5 |
| Section | 7.772423E-5 |
| closer | 3.3310385E-5 |
| monster | 3.3310388E-4 |
| flower | 1.1103462E-5 |
| single | 8.88277E-5 |
| Despondency | 1.1103462E-5 |
| uttering | 1.1103462E-5 |
| scourge | 1.1103462E-5 |
| closed | 7.772423E-5 |
| flowed | 4.441385E-5 |
| tm | 6.328973E-4 |
| Literary | 1.44345E-4 |
| to | 0.023872443 |
| compressed | 1.1103462E-5 |
| pittance | 3.3310385E-5 |
| unearthly | 3.3310385E-5 |
| commercial | 1.1103462E-5 |
| joint | 1.1103462E-5 |
| remarkably | 3.3310385E-5 |
| reasonable | 2.2206925E-5 |
| generations | 3.3310385E-5 |
| endangered | 1.1103462E-5 |
| rules | 2.2206925E-5 |
| Melbourne | 1.1103462E-5 |
| loaded | 2.2206925E-5 |
| ruled | 2.2206925E-5 |
| military | 1.1103462E-5 |
| up | 8.1055274E-4 |
| reluctant | 1.1103462E-5 |
| hides | 1.1103462E-5 |
| us | 6.773112E-4 |
| Volunteers | 1.1103462E-5 |
| forgo | 1.1103462E-5 |
| waters | 1.2213808E-4 |
| PROJECT | 4.441385E-5 |
| usual | 5.551731E-5 |
| frosts | 1.1103462E-5 |
| this | 0.00400835 |
| reasonably | 2.2206925E-5 |
| carnage | 1.1103462E-5 |
| thin | 4.441385E-5 |
| Please | 1.1103462E-5 |
| remarkable | 2.2206925E-5 |
| brake | 1.1103462E-5 |
| recess | 3.3310385E-5 |
| imprecations | 1.1103462E-5 |
| failure | 3.3310385E-5 |
| know | 5.440696E-4 |
| frightened | 3.3310385E-5 |
| frosty | 1.1103462E-5 |
| changed | 1.1103462E-4 |
| medicines | 1.1103462E-5 |
| divinely | 1.1103462E-5 |
| changes | 3.3310385E-5 |
| gruff | 1.1103462E-5 |
| we | 0.0013657259 |
| willingly | 4.441385E-5 |
| discompose | 1.1103462E-5 |
| summoned | 1.1103462E-5 |
| similarity | 1.1103462E-5 |
| examination | 2.2206925E-5 |
| destitute | 1.1103462E-5 |
| creations | 2.2206925E-5 |
| unfitted | 1.1103462E-5 |
| disposed | 2.2206925E-5 |
| gay | 7.772423E-5 |
| watery | 2.2206925E-5 |
| slight | 9.993116E-5 |
| previous | 5.551731E-5 |
| tumultuous | 3.3310385E-5 |
| securing | 1.1103462E-5 |
| teach | 1.1103462E-5 |
| reading | 4.441385E-5 |
| argue | 1.1103462E-5 |
| brides | 1.1103462E-5 |
| uncovered | 1.1103462E-5 |
| deeper | 5.551731E-5 |
| talents | 1.1103462E-5 |
| localities | 1.1103462E-5 |
| Milanese | 1.1103462E-5 |
| held | 8.88277E-5 |
| Rely | 1.1103462E-5 |
| annihilation | 3.3310385E-5 |
| Internal | 1.1103462E-5 |
| type | 2.2206925E-5 |
| ye | 4.441385E-5 |
| beyond | 7.772423E-5 |
| hell | 1.1103462E-4 |
| BREACH | 2.2206925E-5 |
| terms | 2.9979346E-4 |
| skiff | 2.2206925E-5 |
| deeply | 2.2206924E-4 |
| immensity | 1.1103462E-5 |
| proof | 5.551731E-5 |
| surrounding | 2.2206925E-5 |
| conclude | 1.1103462E-5 |
| misfortune | 1.776554E-4 |
| mingling | 1.1103462E-5 |
| susceptible | 2.2206925E-5 |
| insight | 1.1103462E-5 |
| provisions | 2.2206925E-5 |
| force | 6.662077E-5 |
| encompassed | 4.441385E-5 |
| ascertaining | 1.1103462E-5 |
| oaten | 1.1103462E-5 |
| surrounded | 1.9986232E-4 |
| caprice | 1.1103462E-5 |
| precautions | 1.1103462E-5 |
| south | 5.551731E-5 |
| periodic | 1.1103462E-5 |
| north | 1.1103462E-4 |
| vagabond | 1.1103462E-5 |
| tools | 3.3310385E-5 |
| “‘Where | 1.1103462E-5 |
| get | 2.2206925E-5 |
| wilds | 3.3310385E-5 |
| resembling | 2.2206925E-5 |
| course | 1.9986232E-4 |
| power | 4.3303502E-4 |
| mediation | 1.1103462E-5 |
| rivers | 5.551731E-5 |
| precious | 3.3310385E-5 |
| Table | 1.1103462E-5 |
| bridal | 1.1103462E-5 |
| thousandth | 1.1103462E-5 |
| sell | 1.1103462E-5 |
| continued | 3.6641426E-4 |
| coffin | 5.551731E-5 |
| suspect | 2.2206925E-5 |
| brain | 1.1103462E-5 |
| thou | 1.5544846E-4 |
| abide | 1.1103462E-5 |
| indiscriminately | 1.1103462E-5 |
| help | 8.88277E-5 |
| forcing | 1.1103462E-5 |
| narrations | 1.1103462E-5 |
| “Urged | 1.1103462E-5 |
| depth | 1.1103462E-5 |
| trickling | 1.1103462E-5 |
| superstition | 1.1103462E-5 |
| life—the | 1.1103462E-5 |
| ended | 2.2206925E-5 |
| self | 1.776554E-4 |
| located | 4.441385E-5 |
| familiarised | 1.1103462E-5 |
| dress | 6.662077E-5 |
| overpowering | 1.1103462E-5 |
| Company | 1.1103462E-5 |
| addresses | 1.1103462E-5 |
| hindrance | 1.1103462E-5 |
| obliged | 1.3324154E-4 |
| sound | 2.4427616E-4 |
| treasures | 3.3310385E-5 |
| rustling | 1.1103462E-5 |
| indignation | 7.772423E-5 |
| barrier | 4.441385E-5 |
| create | 9.993116E-5 |
| Resolved | 1.1103462E-5 |
| criminal | 8.88277E-5 |
| proud | 2.2206925E-5 |
| curious | 1.1103462E-5 |
| Character | 1.1103462E-5 |
| creatures | 2.7758654E-4 |
| demoniacal | 3.3310385E-5 |
| purposed | 1.1103462E-5 |
| unexampled | 1.1103462E-5 |
| depended | 4.441385E-5 |
| sensibilities | 1.1103462E-5 |
| earthquake | 2.2206925E-5 |
| judged | 3.3310385E-5 |
| sent | 6.662077E-5 |
| nightmare | 1.1103462E-5 |
| sheltered | 2.2206925E-5 |
| Adam | 2.2206925E-5 |
| addressed | 1.44345E-4 |
| purposes | 3.3310385E-5 |
| judges | 6.662077E-5 |
| send | 2.2206925E-5 |
| expenses | 2.2206925E-5 |
| here | 3.1089692E-4 |
| regret | 7.772423E-5 |
| purpose | 1.9986232E-4 |
| rejected | 2.2206925E-5 |
| snake | 1.1103462E-5 |
| scale | 1.1103462E-5 |
| “Compose | 1.1103462E-5 |
| hero | 1.1103462E-5 |
| hers | 3.3310385E-5 |
| engaging | 2.2206925E-5 |
| kinder | 1.1103462E-5 |
| superiors | 1.1103462E-5 |
| security | 1.1103462E-5 |
| surmount | 2.2206925E-5 |
| purport | 2.2206925E-5 |
| observations | 1.1103462E-5 |
| station | 2.2206925E-5 |
| feeble | 3.3310385E-5 |
| compassionated | 1.1103462E-5 |
| continual | 5.551731E-5 |
| herb | 2.2206925E-5 |
| undiscovered | 2.2206925E-5 |
| herd | 1.1103462E-5 |
| shrill | 2.2206925E-5 |
| costs | 2.2206925E-5 |
| Austrian | 1.1103462E-5 |
| skirting | 1.1103462E-5 |
| habitation | 5.551731E-5 |
| feebly | 1.1103462E-5 |
| smoke | 1.1103462E-5 |
| edges | 1.1103462E-5 |
| firmest | 1.1103462E-5 |
| follow | 1.1103462E-4 |
| mother’s | 2.2206925E-5 |
| “Fear | 1.1103462E-5 |
| Shut | 1.1103462E-5 |
| “Devil | 2.2206925E-5 |
| wretchedness | 1.5544846E-4 |
| Paul’s | 1.1103462E-5 |
| Servox | 2.2206925E-5 |
| pattered | 1.1103462E-5 |
| skies | 2.2206925E-5 |
| navigators | 2.2206925E-5 |
| wreck—the | 1.1103462E-5 |
| harmless | 6.662077E-5 |
| intend | 6.662077E-5 |
| Think | 2.2206925E-5 |
| numerous | 4.441385E-5 |
| England | 2.331727E-4 |
| buds | 1.1103462E-5 |
| without | 4.108281E-4 |
| youth | 2.331727E-4 |
| introduced | 3.3310385E-5 |
| fluctuate | 1.1103462E-5 |
| whatsoever | 3.3310385E-5 |
| reverie | 2.2206925E-5 |
| Romans—of | 1.1103462E-5 |
| thus | 5.218627E-4 |
| habitations | 2.2206925E-5 |
| Everywhere | 2.2206925E-5 |
| possess | 5.551731E-5 |
| volunteers | 5.551731E-5 |
| Having | 3.3310385E-5 |
| glens | 1.1103462E-5 |
| much | 4.885523E-4 |
| entitled | 1.1103462E-5 |
| Goring | 1.1103462E-5 |
| 12th | 2.2206925E-5 |
| sights | 5.551731E-5 |
| miseries | 9.993116E-5 |
| defence | 3.3310385E-5 |
| misery | 5.995869E-4 |
| masters | 4.441385E-5 |
| FOUNDATION | 1.1103462E-5 |
| Contributions | 1.1103462E-5 |
| colonization | 1.1103462E-5 |
| Frankenstein | 2.9979346E-4 |
| Lucerne | 2.2206925E-5 |
| lights | 2.2206925E-5 |
| resolved | 3.4420734E-4 |
| committed | 1.44345E-4 |
| hardships | 5.551731E-5 |
| stings | 1.1103462E-5 |
| Shakespeare | 1.1103462E-5 |
| union | 1.776554E-4 |
| faculties | 1.1103462E-5 |
| “She | 4.441385E-5 |
| ruined | 3.3310385E-5 |
| veins | 4.441385E-5 |
| strangled | 2.2206925E-5 |
| arch | 2.2206925E-5 |
| returned | 3.4420734E-4 |
| yours | 4.441385E-5 |
| wrap | 1.1103462E-5 |
| adopted | 1.1103462E-5 |
| standard | 1.1103462E-5 |
| reports | 1.1103462E-5 |
| illuminating | 1.1103462E-5 |
| sworn | 2.2206925E-5 |
| imitate | 3.3310385E-5 |
| dragging | 1.1103462E-5 |
| possessions | 1.1103462E-5 |
| ambition | 8.88277E-5 |
| aspirations | 1.1103462E-5 |
| avert | 2.2206925E-5 |
| callous | 1.1103462E-5 |
| Orkney | 1.1103462E-5 |
| contributed | 2.2206925E-5 |
| murder | 2.331727E-4 |
| tracing | 1.1103462E-5 |
| FOR | 3.3310385E-5 |
| contributes | 1.1103462E-5 |
| neglected | 7.772423E-5 |
| success | 1.3324154E-4 |
| ingenuity | 1.1103462E-5 |
| authority | 1.1103462E-5 |
| remarked | 2.2206925E-5 |
| End | 1.1103462E-5 |
| cleared | 3.3310385E-5 |
| shocking | 1.1103462E-5 |
| Clerval—” | 1.1103462E-5 |
| Scoffing | 1.1103462E-5 |
| formats | 2.2206925E-5 |
| young | 3.220004E-4 |
| avenge | 1.1103462E-5 |
| obsolete | 1.1103462E-5 |
| reasoned | 1.1103462E-5 |
| eloquence | 5.551731E-5 |
| inexhaustible | 2.2206925E-5 |
| wrestle | 1.1103462E-5 |
| fairest | 1.1103462E-5 |
| minutest | 1.1103462E-5 |
| “Cursed | 1.1103462E-5 |
| plaited | 2.2206925E-5 |
| inhospitably | 1.1103462E-5 |
| departed | 1.6655194E-4 |
| portrait | 3.3310385E-5 |
| halfway | 1.1103462E-5 |
| “little | 1.1103462E-5 |
| Manon | 1.1103462E-5 |
| disconsolate | 3.3310385E-5 |
| God’s | 2.2206925E-5 |
| pinnacle | 1.1103462E-5 |
| lady | 1.2213808E-4 |
| amassed | 1.1103462E-5 |
| pocket | 4.441385E-5 |
| named | 2.2206925E-5 |
| injustice | 6.662077E-5 |
| groaned | 2.2206925E-5 |
| indifference | 1.1103462E-5 |
| considered | 1.2213808E-4 |
| “Be | 3.3310385E-5 |
| channel | 1.1103462E-5 |
| John | 1.1103462E-5 |
| delivered | 4.441385E-5 |
| minutely | 2.2206925E-5 |
| entire | 3.3310385E-5 |
| changing | 1.1103462E-5 |
| “Ay | 1.1103462E-5 |
| approach | 1.2213808E-4 |
| flashes | 2.2206925E-5 |
| braces | 1.1103462E-5 |
| doting | 2.2206925E-5 |
| mule | 2.2206925E-5 |
| decisive | 2.2206925E-5 |
| “As | 7.772423E-5 |
| “At | 2.2206925E-5 |
| “Ah | 2.2206925E-5 |
| deliverer | 5.551731E-5 |
| flashed | 1.1103462E-5 |
| write | 9.993116E-5 |
| “Certainly | 1.1103462E-5 |
| curling | 2.2206925E-5 |
| IMPLIED | 1.1103462E-5 |
| Everyone | 1.1103462E-5 |
| musical | 1.1103462E-5 |
| corporation | 1.1103462E-5 |
| understand | 1.8875886E-4 |
| heaven | 1.6655194E-4 |
| suspended | 2.2206925E-5 |
| intelligence | 3.3310385E-5 |
| unhappy | 1.9986232E-4 |
| strongly | 8.88277E-5 |
| manifested | 2.2206925E-5 |
| shadows | 1.1103462E-5 |
| appearing | 2.2206925E-5 |
| despair | 5.218627E-4 |
| gun | 2.2206925E-5 |
| hundred | 3.3310385E-5 |
| wait | 4.441385E-5 |
| “Justine | 2.2206925E-5 |
| American | 1.1103462E-5 |
| queen | 1.1103462E-5 |
| magnificent | 8.88277E-5 |
| “‘No | 2.2206925E-5 |
| instant | 1.44345E-4 |
| native | 3.1089692E-4 |
| smothered | 1.1103462E-5 |
| wail | 1.1103462E-5 |
| hitherto | 1.3324154E-4 |
| tempted | 4.441385E-5 |
| handkerchief | 1.1103462E-5 |
| accordingly | 9.993116E-5 |
| Esq | 1.1103462E-5 |
| laid | 1.1103462E-5 |
| consequence | 1.1103462E-5 |
| particularly | 6.662077E-5 |
| raven | 1.1103462E-5 |
| opportunities | 1.1103462E-5 |
| lingering | 1.1103462E-5 |
| raved | 1.1103462E-5 |
| names | 1.776554E-4 |
| curiously | 1.1103462E-5 |
| discerned | 1.1103462E-5 |
| entity | 3.3310385E-5 |
| renovating | 1.1103462E-5 |
| tide | 2.2206925E-5 |
| almost | 4.3303502E-4 |
| conduce | 1.1103462E-5 |
| equally | 4.441385E-5 |
| supernatural | 4.441385E-5 |
| prevents | 2.2206925E-5 |
| elevating | 2.2206925E-5 |
| sustained | 5.551731E-5 |
| associate | 2.2206925E-5 |
| earlier | 3.3310385E-5 |
| expostulate | 1.1103462E-5 |
| charity | 2.2206925E-5 |
| whether | 1.5544846E-4 |
| Charles | 1.1103462E-5 |
| beneath | 1.2213808E-4 |
| void | 3.3310385E-5 |
| liability | 2.2206925E-5 |
| However | 3.3310385E-5 |
| sway | 1.1103462E-5 |
| Public | 1.1103462E-5 |
| affected | 3.3310385E-5 |
| pleasures | 4.441385E-5 |
| READ | 1.1103462E-5 |
| reconcile | 1.1103462E-5 |
| Eve | 1.1103462E-5 |
| arms | 9.993116E-5 |
| lake | 2.8869E-4 |
| “Do | 7.772423E-5 |
| procrastinate | 1.1103462E-5 |
| replied | 2.9979346E-4 |
| unite | 1.1103462E-5 |
| perused | 1.1103462E-5 |
| combat | 2.2206925E-5 |
| accidentally | 1.1103462E-5 |
| indulge | 2.2206925E-5 |
| sacrificed | 2.2206925E-5 |
| pursue | 1.8875886E-4 |
| ties | 5.551731E-5 |
| catastrophe | 3.3310385E-5 |
| busy | 7.772423E-5 |
| convey | 7.772423E-5 |
| land | 2.2206924E-4 |
| “Come | 3.3310385E-5 |
| torpor | 2.2206925E-5 |
| elevation | 1.1103462E-5 |
| burn | 1.1103462E-5 |
| imposing | 1.1103462E-5 |
| congregated | 1.1103462E-5 |
| performing | 3.3310385E-5 |
| lamp | 1.1103462E-5 |
| doubtful | 1.1103462E-5 |
| “By | 2.2206925E-5 |
| “None | 1.1103462E-5 |
| embosomed | 1.1103462E-5 |
| pebble | 1.1103462E-5 |
| conduct | 8.88277E-5 |
| bury | 1.1103462E-5 |
| lamb | 1.1103462E-5 |
| remoter | 1.1103462E-5 |
| changeable | 1.1103462E-5 |
| ‘Accursed | 1.1103462E-5 |
| wall | 1.1103462E-5 |
| walk | 6.662077E-5 |
| quietly | 2.2206925E-5 |
| “Are | 3.3310385E-5 |
| refusing | 1.1103462E-5 |
| culled | 1.1103462E-5 |
| fanned | 2.2206925E-5 |
| ardently | 1.1103462E-4 |
| Tilbury | 1.1103462E-5 |
| decay | 4.441385E-5 |
| dazzled | 1.1103462E-5 |
| grieve | 1.1103462E-5 |
| imbued | 4.441385E-5 |
| myriads | 1.1103462E-5 |
| “In | 2.2206925E-5 |
| rendezvous | 1.1103462E-5 |
| arrangements | 1.1103462E-5 |
| thinks | 1.1103462E-5 |
| welcome | 6.662077E-5 |
| events | 1.9986232E-4 |
| “Is | 2.2206925E-5 |
| ‘Who | 2.2206925E-5 |
| interchange | 2.2206925E-5 |
| “It | 1.3324154E-4 |
| “If | 3.3310385E-5 |
| mankind | 1.2213808E-4 |
| Constantinople | 2.2206925E-5 |
| want | 1.3324154E-4 |
| mute | 1.1103462E-5 |
| relapses | 1.1103462E-5 |
| Nugent | 2.2206925E-5 |
| induce | 4.441385E-5 |
| deserts | 5.551731E-5 |
| “‘Do | 3.3310385E-5 |
| pulses | 1.1103462E-5 |
| difference | 5.551731E-5 |
| must | 8.1055274E-4 |
| Clerval | 6.106904E-4 |
| circle | 2.2206925E-5 |
| resign | 1.1103462E-5 |
| “He | 3.3310385E-5 |
| glimmering | 1.1103462E-5 |
| Should | 1.1103462E-5 |
| chivalrous | 1.1103462E-5 |
| gilded | 1.1103462E-5 |
| imprinted | 2.2206925E-5 |
| reside | 2.2206925E-5 |
| forebodings | 2.2206925E-5 |
| chase | 1.1103462E-5 |
| accident | 6.662077E-5 |
| retreated | 2.2206925E-5 |
| ravine | 3.3310385E-5 |
| found | 9.993116E-4 |
| blackbird | 1.1103462E-5 |
| arts | 2.2206925E-5 |
| convict | 1.1103462E-5 |
| cruelty | 1.1103462E-5 |
| affability | 1.1103462E-5 |
| night’s | 1.1103462E-5 |
| intimate | 3.3310385E-5 |
| disclose | 3.3310385E-5 |
| entirely | 2.2206924E-4 |
| religion | 3.3310385E-5 |
| baths | 1.1103462E-5 |
| ghosts | 1.1103462E-5 |
| charm | 3.3310385E-5 |
| tragedy | 1.1103462E-5 |
| “Little | 1.1103462E-5 |
| miniature | 2.2206925E-5 |
| contrived | 3.3310385E-5 |
| “And | 6.662077E-5 |
| till | 2.2206925E-5 |
| Once | 5.551731E-5 |
| attend | 6.662077E-5 |
| “No | 2.2206925E-5 |
| had | 0.007594768 |
| nicer | 1.1103462E-5 |
| forsaken | 1.1103462E-5 |
| secure | 8.88277E-5 |
| guided | 4.441385E-5 |
| instructors | 1.1103462E-5 |
| “My | 2.331727E-4 |
| late | 7.772423E-5 |
| differing | 1.1103462E-5 |
| school | 2.2206925E-5 |
| preserved | 2.2206925E-5 |
| things | 1.2213808E-4 |
| immense | 5.551731E-5 |
| avenue | 1.1103462E-5 |
| passages | 1.1103462E-5 |
| has | 7.106216E-4 |
| reposed | 2.2206925E-5 |
| Heaven | 6.662077E-5 |
| hay | 1.1103462E-5 |
| sighed | 1.1103462E-5 |
| last | 3.4420734E-4 |
| weighs | 1.1103462E-5 |
| adapt | 1.1103462E-5 |
| preserver | 1.1103462E-5 |
| weight | 7.772423E-5 |
| cheerful | 1.3324154E-4 |
| bloodless | 1.1103462E-5 |
| warm | 8.88277E-5 |
| Vaud | 1.1103462E-5 |
| measure | 3.3310385E-5 |
| checks | 1.1103462E-5 |
| forsakes | 1.1103462E-5 |
| carelessly | 2.2206925E-5 |
| Enter | 1.1103462E-5 |
| wars | 1.1103462E-5 |
| updated | 1.1103462E-5 |
| sickbed | 2.2206925E-5 |
| swim | 1.1103462E-5 |
| impossible | 8.88277E-5 |
| Was | 3.3310385E-5 |
| effort | 6.662077E-5 |
| “Your | 4.441385E-5 |
| brute | 1.1103462E-5 |
| dried | 3.3310385E-5 |
| vegetables | 2.2206925E-5 |
| yesterday | 3.3310385E-5 |
| acquirement | 2.2206925E-5 |
| partiality | 2.2206925E-5 |
| courageous | 1.1103462E-5 |
| awaking | 1.1103462E-5 |
| stronger | 1.1103462E-5 |
| “‘It | 1.1103462E-5 |
| steady | 2.2206925E-5 |
| early | 1.5544846E-4 |
| ravish | 1.1103462E-5 |
| disease | 2.2206925E-5 |
| incitement | 1.1103462E-5 |
| Pandæmonium | 1.1103462E-5 |
| yet | 0.0012768981 |
| childless | 1.1103462E-5 |
| quieted | 1.1103462E-5 |
| exult | 1.1103462E-5 |
| alike | 3.3310385E-5 |
| colour | 3.3310385E-5 |
| convalescence | 3.3310385E-5 |
| inasmuch | 1.1103462E-5 |
| delightful | 4.441385E-5 |
| observing | 3.3310385E-5 |
| time | 0.0010770358 |
| civilised | 1.1103462E-5 |
| aroused | 1.1103462E-5 |
| flourishing | 2.2206925E-5 |
| dominions | 1.1103462E-5 |
| happy | 4.996558E-4 |
| aggravation | 1.1103462E-5 |
| sickness | 5.551731E-5 |
| governments | 3.3310385E-5 |
| her | 0.003963936 |
| probabilities | 1.1103462E-5 |
| having | 2.331727E-4 |
| laws | 1.8875886E-4 |
| lesson | 2.2206925E-5 |
| supreme | 2.2206925E-5 |
| philosophy | 1.6655194E-4 |
| 1500 | 1.1103462E-5 |
| palaces | 2.2206925E-5 |
| ever—that | 1.1103462E-5 |
| terrific | 7.772423E-5 |
| Web | 3.3310385E-5 |
| niche | 1.1103462E-5 |
| worship | 1.1103462E-5 |
| conductors | 1.1103462E-5 |
| consecrated | 1.1103462E-5 |
| merits | 3.3310385E-5 |
| imprudently | 1.1103462E-5 |
| confirmed | 8.88277E-5 |
| vowed | 2.2206925E-5 |
| insultingly | 1.1103462E-5 |
| ways | 2.2206925E-5 |
| attest | 1.1103462E-5 |
| Almost | 1.1103462E-5 |
| grasping | 1.1103462E-5 |
